arm,repeat,kp,ki,kd,JT,JE,kp_at_upper,ki_at_upper,kd_at_upper,outside_original
original,0,200.0,100.0,0.0,0.0030956331358104,2.5224586169807663,True,True,False,False
expanded,0,400.0,200.0,0.0,0.0015451201010908,2.598785754538234,True,True,False,True
original,1,200.0,100.0,0.0,0.0031013875027958,2.5226439384695296,True,True,False,False
expanded,1,315.6831923767408,198.86184458638584,0.0,0.0017877803535497,2.5600684718468427,False,False,False,True
original,2,200.0,100.0,0.0,0.003098415976565,2.523072785245105,True,True,False,False
expanded,2,400.0,162.23324545762966,0.0,0.0016744920552654,2.5994572869957846,True,False,False,True
original,3,200.0,100.0,0.0,0.003096649721857,2.5222992980423355,True,True,False,False
expanded,3,400.0,200.0,0.0,0.0015461490099064,2.5978602786940543,True,True,False,True
original,4,200.0,90.19777745032904,0.0,0.0032240498936501,2.521413714867355,True,False,False,False
expanded,4,400.0,196.14023930246128,0.0,0.0015611394846911,2.5970221261354833,True,False,False,True
