repeat,original_min_JT,expanded_min_JT,improvement_pct,expanded_CT_outside_old,original_CT_at_upper,original_practical_count,original_practical_min_JE,expanded_CT_at_upper,expanded_practical_count,expanded_practical_min_JE,tracking_hausdorff,practical_hausdorff
0,0.0030956331358104,0.0015451201010908,50.08710550301349,True,True,11,2.3881866619146175,True,7,2.4785179984057053,0.6956520647671481,0.8718486688089987
1,0.0031013875027958,0.0017877803535497,42.35546664394326,True,True,9,2.4249882578562976,False,9,2.433639369994832,0.4913257205149339,0.2829009298712193
2,0.003098415976565,0.0016744920552654,45.95651236210725,True,True,12,2.427354853421339,True,8,2.4721992900492955,0.6791652008900342,0.6658252437562772
3,0.003096649721857,0.0015461490099064,50.07026468013938,True,True,14,2.4191100860192463,True,7,2.4826073654358485,0.66107901470377,0.9016063985660424
4,0.0032240498936501,0.0015611394846911,51.57830876731068,True,True,11,2.473731885329724,True,11,2.4220526592381524,0.738872764814535,0.4375670101255291
