role,payload,JT_mean,JT_std,JT_count,JE_mean,JE_std,JE_count,delta_JT_pct_mean,delta_JT_pct_std,delta_JT_pct_count,delta_JE_pct_mean,delta_JE_pct_std,delta_JE_pct_count,feasible_mean,feasible_std,feasible_count,practical_satisfied_mean,practical_satisfied_std,practical_satisfied_count
CB,1.0,0.0037490341239097003,0.0005032389406359964,5,2.4900883520105532,0.01076897129583356,5,0.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5
CB,2.0,0.00391843617028336,0.0005155566448629633,5,5.584090564804536,0.018953972776531807,5,4.549977794929393,0.3182700956792079,5,124.25342980690725,0.2090966556522215,5,1.0,0.0,5,1.0,0.0,5
CB,3.0,0.00413195907148768,0.0005251369176133858,5,9.671404084360482,0.027433630319974874,5,10.303377541280563,0.862042439788913,5,288.39802085542726,0.57899898754081,5,1.0,0.0,5,1.0,0.0,5
CE,1.0,0.016173623628486962,0.0059276843467073615,5,2.471275635064088,0.014170702305752089,5,0.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5
CE,2.0,0.01747282166476332,0.0055545299673013205,5,5.516533662369403,0.06408466214922141,5,10.011381947453607,8.264110065424715,5,123.22327828979724,1.8728337985608365,5,1.0,0.0,5,1.0,0.0,5
CE,3.0,0.01895179466539514,0.005487064944016234,5,9.516451315847593,0.1621666789195869,5,21.03641857008127,16.11320774632816,5,285.07285906653357,5.390400116666122,5,1.0,0.0,5,1.0,0.0,5
CT,1.0,0.0015778101248822799,5.6064751999065995e-05,5,2.5974613817826144,0.0008624293126335936,5,0.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5
CT,2.0,0.0017573822064286201,7.159744658808972e-05,5,5.693279904242121,0.001178030433191131,5,11.365309097630801,0.5555464859349053,5,119.18632434420337,0.038756505209784964,5,1.0,0.0,5,1.0,0.0,5
CT,3.0,0.00196882386580416,8.762361077373371e-05,5,9.779582557229059,0.0021075146671125635,5,24.751583721354606,1.0722683657362484,5,276.505425144638,0.08758403146185854,5,1.0,0.0,5,1.0,0.0,5
