repeat,payload,JT_budget_rad,best_observed_JE
0,1.0,0.01,2.4805361859133996
0,2.0,0.01,5.572102835527285
0,3.0,0.01,9.69881608774006
1,1.0,0.01,2.486597685717744
1,2.0,0.01,5.542348449932041
1,3.0,0.01,9.612939969662284
2,1.0,0.01,2.485895833504297
2,2.0,0.01,5.607714884112605
2,3.0,0.01,9.701767003028474
3,1.0,0.01,2.479867645931591
3,2.0,0.01,5.578726385567764
3,3.0,0.01,9.714682189642708
4,1.0,0.01,2.4845152866111713
4,2.0,0.01,5.53328370861178
4,3.0,0.01,9.656832263327177
