role,payload,kp,ki,kd,JT,JE,delta_JT_pct,delta_JE_pct,feasible,practical_satisfied
CT,1.0,400.0,194.59868853157545,0.0,0.001566755907809,2.5975951282900227,0.0,0.0,True,True
CB,1.0,0.0,192.02347004420923,0.0,0.0041614582497982,2.4804647598454252,0.0,0.0,True,True
CE,1.0,0.0,41.08279400053982,0.0,0.0214335397302503,2.473803533910918,0.0,0.0,True,True
CT,2.0,400.0,194.59868853157545,0.0,0.0017431110379293,5.693771679795342,11.256069260141578,119.1939620530282,True,True
CB,2.0,0.0,192.02347004420923,0.0,0.0043384757497726,5.566991681303162,4.253737256236074,124.43341148898564,True,True
CE,2.0,0.0,41.08279400053982,0.0,0.0216695272305612,5.571925240986025,1.101019725536947,125.23717686574666,True,True
CT,3.0,400.0,194.59868853157545,0.0,0.001951174066126,9.78055483316076,24.535931627956867,276.5234515049012,True,True
CB,3.0,0.0,192.02347004420923,0.0,0.004557493103206,9.64655103284448,9.516732588317549,288.90095070109453,True,True
CE,3.0,0.0,41.08279400053982,0.0,0.0222244247681476,9.66775599771729,3.689941315577588,290.8053273104196,True,True
