repeat,payload,local_retested_min_JT,transferred_CT_JT,transfer_better_tracking
0,1.0,0.001566755907809,0.001566755907809,False
0,2.0,0.0025845669696828,0.0017431110379293,True
0,3.0,0.0032700842526168,0.001951174066126,True
1,1.0,0.0015476681842289,0.0015476681842289,False
1,2.0,0.0031295898035584,0.0017192394217423,True
1,3.0,0.003845063308228,0.0019224241367353,True
2,1.0,0.0016770830171518,0.0016770830171518,False
2,2.0,0.002707336641921,0.0018841843787528,True
2,3.0,0.0031745010497957,0.0021240371603764,True
3,1.0,0.0015481664980486,0.0015481664980486,False
3,2.0,0.0021724922537673,0.0017196203476446,True
3,3.0,0.0027035192335104,0.0019227149809572,True
4,1.0,0.0015493770171731,0.0015493770171731,False
4,2.0,0.0040772328021801,0.0017207558460741,True
4,3.0,0.0037974782667365,0.0019237689848259,True
