payload,R_P_mean,R_P_std,R_P_count,R_P_union_mean,R_P_union_std,R_P_union_count,L_HV_mean,L_HV_std,L_HV_count,N0_mean,N0_std,N0_count,N_ret_mean,N_ret_std,N_ret_count,N_feasible_mean,N_feasible_std,N_feasible_count
1.0,100.0,0.0,5,100.0,0.0,5,0.0,0.0,5,10.2,2.8635642126552705,5,10.2,2.8635642126552705,5,10.2,2.8635642126552705,5
2.0,96.16666666666666,5.63964143856288,5,92.16666666666666,11.838027238053176,5,2.8743468290600434,1.4177207423308558,5,10.2,2.8635642126552705,5,9.8,2.6832815729997477,5,10.2,2.8635642126552705,5
3.0,94.16666666666666,5.713045500334205,5,85.0,17.320508075688775,5,15.656940865892988,1.1920335639853288,5,10.2,2.8635642126552705,5,9.6,2.701851217221259,5,10.2,2.8635642126552705,5
