payload,R_P_mean,R_P_std,R_P_count,R_P_union_mean,R_P_union_std,R_P_union_count,L_HV_mean,L_HV_std,L_HV_count,N0_mean,N0_std,N0_count,N_ret_mean,N_ret_std,N_ret_count,N_feasible_mean,N_feasible_std,N_feasible_count
1.0,100.0,0.0,5,100.0,0.0,5,0.0,0.0,5,12.8,1.9235384061671346,5,12.8,1.9235384061671346,5,12.8,1.9235384061671346,5
2.0,93.3100233100233,6.996696773262548,5,85.62645687645687,11.84452028031191,5,4.921836307228083,1.6773282220992,5,12.8,1.9235384061671346,5,12.0,2.449489742783178,5,12.8,1.9235384061671346,5
3.0,87.31643356643357,7.019783501756931,5,80.20979020979021,8.533526220832117,5,0.132151994858479,19.868775949930328,5,12.8,1.9235384061671346,5,11.2,2.16794833886788,5,12.8,1.9235384061671346,5
